animeTitle	Shi Ye Miao Yin
animeType	ONA
animeNumEpisode	11
releaseDate	2021-09-29 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12766
animeDescription	"Yang Yao is a renowned exorcist who drives out spirits that bother the normal lives of humans. When he is faced with a difficult case, he enlists the help of his winemaker friend, Yanan.

(Source: INKR Comics)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
