animeTitle	Jie Mo Ren
animeType	ONA
animeNumEpisode	14
releaseDate	
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	1347
animeRank	
animePopularity	6253
animeDescription	"When Freshman Zhou Xiaoan put on a ring of unclear origin, a terrifying devil leaps from his mouth and his life is changed forever. Shocking historical secrets are slowly revealed - a Blood Devil calling itself King Zhou of Shang, a race of heart-eating zombies; a dubious group of Taoist Priests that fight against them; mysterious beings of the supernatural world who can blend in to human society.

(Source: GFearJ)"
animeRelated	[]
animeCharacters	['Wan, Dao', 'The Devil in the Ring', 'Bai, Luo', 'Tarte', 'Mei, Xiaoqian', 'Jiang, Xuanyan', 'Zhou, Xiaoan', 'Old Wang', 'Ouyang, Shen', 'Liu, Yuanyuan']
animeVoices	[]
animeStaff	[]
