animeTitle	Kime Koi!
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	2701
animeRank	
animePopularity	5994
animeDescription	Hero Hajime is going to school with Misa and Megumi. He loves Megumi, and asks Misa if there is a way to win Megumi over. Misa produces a pill that is supposed to make the taker reveal their exact feelings for someone. It turns out Megumi has been wanting Hajime, but so has Misa.
animeRelated	['Kime Koi! Takane no Hana to Osananajimi ga Kimatta Riyuu']
animeCharacters	['Hagino, Misa', 'Saginomiya, Megumi', 'Hajime']
animeVoices	['Hara, Maika']
animeStaff	[['Katsurai, Yoshiaki', 'Original Character Design'], ['Tachibana, Pan', 'Original Creator']]
