animeTitle	Go! Go! Itsutsugo Land
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	299
animeRank	
animePopularity	11636
animeDescription	The series is about five quintuplets, Kabuto, Hinoki, Arashi, Kinoko and Kodama Morino, who have all kinds of adventures together. Each has their own talent and personality. 
animeRelated	[]
animeCharacters	['Morino, Kinoko', 'Morino, Kodama', 'Morino, Hinoki', 'Morino, Kabuto', 'Morino, Arashi']
animeVoices	['Mizutani, Yuuko', 'Araki, Kae', 'Yuuki, Hiro', 'Takimoto, Fujiko', 'Koujiro, Chie']
animeStaff	[['Suenaga, Mitsuyo', 'Script'], ['Iwasaki, Taku', 'Music'], ['Kobayashi, Yukari', 'Chief Animation Director']]
