animeTitle	Tetsujin 28-gou (2004)
animeType	TV
animeNumEpisode	26
releaseDate	2004-04-08 00:00:00
endDate	2004-09-30 00:00:00
animeNumMembers	4198
animeScore	7.32
animeUsers	871
animeRank	2326
animePopularity	7503
animeDescription	"In post-WWII Japan, Prof. Shikishima has built up Shikishima Industries to be a technological powerhouse, working on developing robots. However, at the heart of their success lurks a dark secret from the war, something that cost the life of Prof. Kaneda, the mentor of Prof. Shikishima. Now Kaneda's son, Shoutarou, is about to learn the truth, and it will change him forever. 

(Source: ANN)"
animeRelated	['Tetsujin 28-gou', 'Tetsujin 28-gou: Hakuchuu no Zangetsu', 'Tetsujin 28-gou Gao!']
animeCharacters	['Kaneda, Shoutarou', 'Murasame, Kenji', 'Ootsuka, Chief', 'Dr. Black', 'Franken, Shutain', 'Murasame, Ryuusaku', 'Shikishima, Professor']
animeVoices	['Kumai, Motoko', 'Mikimoto, Yuji', 'Inaba, Minoru', 'Wakamoto, Norio', 'Ushiyama, Shigeru']
animeStaff	[['Imagawa, Yasuhiro', 'Director, Episode Director, Script, Storyboard, Series Composition'], ['Oishi, Tatsuya', 'Episode Director, Storyboard, Key Animation'], ['Araki, Kenichi', 'Script'], ['Itagaki, Shin', 'Storyboard']]
