animeTitle	Uchi Tama?! Uchi no Tama Shirimasen ka?
animeType	TV
animeNumEpisode	11
releaseDate	2020-01-10 00:00:00
endDate	2020-03-20 00:00:00
animeNumMembers	19163
animeScore	6.94
animeUsers	4985
animeRank	4042
animePopularity	4077
animeDescription	"In a city somewhere in Japan, there’s a flyer often seen on Third Street with a picture of a cat with a kinked tail, bearing the words: “Have you seen Tama?” A young boy gazes at the flyer, but he has fluffy ears on his head…!? Watch the dogs and cats from Third Street take on a human form and get up to some mischief. 

(Source: Official Site)"
animeRelated	['Tama & Friends: Uchi no Tama Shirimasen ka?']
animeCharacters	['Okamoto, Tama', 'Nora', 'Kawara, Beh', 'Noda, Gon', 'Yamada, Pochi', 'Kuramochi, Bull', 'Mikawa, Kuro', 'Hanasaki, Momo', 'Kiso, Tora', 'Oketani, Koma']
animeVoices	['Saitou, Souma', 'Kaji, Yuki', 'Uchida, Yuuma', 'Hatano, Wataru', 'Ono, Kensho', 'Maeno, Tomoaki', 'Umehara, Yuuichirou', 'Hanazawa, Kana', 'Shirai, Yuusuke', 'Kurosawa, Tomoyo']
animeStaff	[['Matsuda, Kiyoshi', 'Director'], ['Kaneko, Shingo', 'Storyboard'], ['Hanazawa, Kana', 'Theme Song Performance'], ['Kaji, Yuki', 'Theme Song Performance']]
