animeTitle	Fullmetal Alchemist: Brotherhood - 4-Koma Theater
animeType	Special
animeNumEpisode	16
releaseDate	2009-08-26 00:00:00
endDate	2010-11-24 00:00:00
animeNumMembers	54430
animeScore	7.48
animeUsers	24504
animeRank	1681
animePopularity	2396
animeDescription	Short specials from the DVDs/BDs.
animeRelated	['Fullmetal Alchemist: Brotherhood']
animeCharacters	['Elric, Edward', 'Elric, Alphonse', 'Mustang, Roy', 'Hughes, Maes', 'Greed', 'Hawkeye, Riza', 'Yao, Ling', 'Armstrong, Alex Louis', 'Rockbell, Winry', 'Armstrong, Olivier Mira']
animeVoices	['Park, Romi', 'Kugimiya, Rie', 'Miki, Shinichiro', 'Fujiwara, Keiji', 'Nakamura, Yuuichi', 'Orikasa, Fumiko', 'Miyano, Mamoru', 'Utsumi, Kenji', 'Takamoto, Megumi']
animeStaff	[['Morii, Kenshirou', 'Director, Episode Director, Storyboard, Key Animation, Character Design'], ['Arakawa, Hiromu', 'Original Creator'], ['Senju, Akira', 'Music'], ['McFarland, Mike', 'ADR Director']]
