animeTitle	Doujouji
animeType	Movie
animeNumEpisode	1
releaseDate	1976-01-01 00:00:00
endDate	
animeNumMembers	1593
animeScore	6.01
animeUsers	682
animeRank	8602
animePopularity	10039
animeDescription	"Based on an ancient legend, Dojoji Temple tells the story of a young priest who finds himself the object of intense infatuation and lust from a young woman. As he rebuffs her advances she becomes more and more desperate eventually turning herself into a gigantic serpent. The priest is hidden under the bell of the temple but the woman's passion is so intense that escape is impossible.

A short animation from filmmaker Kihachiro Kawamoto. This film utilizes both stop motion and standard animation techniques."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
