animeTitle	Cyborg 009: The Reopening
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.51
animeUsers	575
animeRank	
animePopularity	9804
animeDescription	A short 3D CGI anime of Cyborg 009 produced by director Oshii Mamoru.
animeRelated	['Cyborg 009 (TV)', '009 Re:Cyborg']
animeCharacters	['Shimamura, Joe', 'Link, Jet', 'Arnoul, Françoise']
animeVoices	[]
animeStaff	[['Oshii, Mamoru', 'Director'], ['Kawai, Kenji', 'Music'], ['Kamiyama, Kenji', 'Screenplay'], ['Ishinomori, Shoutarou', 'Original Creator']]
