animeTitle	Mirakururun Grand Purin!
animeType	Music
animeNumEpisode	1
releaseDate	2003-12-26 00:00:00
endDate	
animeNumMembers	325
animeScore	5.25
animeUsers	150
animeRank	11005
animePopularity	14275
animeDescription	Animated music video for Minihams' Mirakururun Grand Purin! with the singers appearing as hamster characters.
animeRelated	['Tottoko Hamtarou Movie 3: Ham Ham Grand Prix Aurora Tani no Kiseki - Ribon-chan Kiki Ippatsu!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
