animeTitle	Kinpatsu no Jeanie
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	165
animeRank	
animePopularity	11508
animeDescription	"During the civil war a girl living in Virginia, named Jeanie, waits for her old boyfriend Robert  to marry him, according to a childish promise, but the war makes the things complicated and, Robert comes back as northerner soldier.    
Only with the conflict's end, and many misadventures, their dream will become true. "
animeRelated	['Kaze no Naka no Shoujo: Kinpatsu no Jeanie']
animeCharacters	['Reed, Jeanie', 'McBee, Robert', 'Billy', 'Betty', 'Narrator', 'Tiger', 'Reed, Catherine', 'Reed, Gloria', 'Reed, James']
animeVoices	['Komiya, Kazue', 'Ishimaru, Hiroya', 'Maruyama, Hiroko', 'Tanaka, Mayumi', 'Inagaki, Mihoko', 'Yamada, Yasuo', 'Saka, Osamu']
animeStaff	[['Abe, Masaki', 'Animation Director']]
