animeTitle	Suna no Bara: Yuki no Mokushiroku
animeType	OVA
animeNumEpisode	1
releaseDate	1993-04-25 00:00:00
endDate	
animeNumMembers	2337
animeScore	6.26
animeUsers	763
animeRank	7407
animePopularity	9021
animeDescription	"Mariko Rosebank leads a team of all-female anti-terrorist mercenaries, named C.A.T. This all-woman team is sent to guard a meeting of world leaders against a terrorist attack. 

(Source: AniDB) "
animeRelated	['Desert Rose']
animeCharacters	['Rosebank, Mariko', 'Mittermeyer, Helga', 'Sanders, Irene', 'Heineken, Ernst', 'Secretary', 'Rosebank, Harold', 'Montan, Jean-Pierre', 'Anderson, Colleen', 'Kureakin, Jessica', 'Kankunen, Dellaila']
animeVoices	['Sasaki, Yuko', 'Orikasa, Ai', 'Honda, Chieko', 'Ginga, Banjou', 'Hikita, Yumi', 'Sugawara, Junichi', 'Naka, Hiroshi', 'Amano, Yuri', 'Emori, Hiroko', 'Ikura, Kazue']
animeStaff	[['Katou, Kazuo', 'Producer'], ['Watanabe, Jun', 'Sound Director'], ['Shintani, Kaoru', 'Script, Screenplay, Original Creator'], ['Kikuchi, Yasuhito', 'Key Animation']]
