animeTitle	Ani ni Tsukeru Kusuri wa Nai! 2
animeType	TV
animeNumEpisode	24
releaseDate	2018-07-09 00:00:00
endDate	2018-12-17 00:00:00
animeNumMembers	37910
animeScore	7.73
animeUsers	18801
animeRank	987
animePopularity	2911
animeDescription	"As always, Shi Miao is tired of her brother's ridiculous antics, and Shi Fen can only hope to escape the clutches of his violent sister. With their friends and classmates in tow, the two continue their dysfunctional relationship as reluctant but devoted siblings.

[Written by MAL Rewrite]"
animeRelated	['Please Take My Brother Away', 'Ani ni Tsukeru Kusuri wa Nai!', 'Ani ni Tsukeru Kusuri wa Nai! 3']
animeCharacters	['Shi, Fen', 'Shi, Miao', 'Kai, Xin', 'Wan, Sui', 'Le, You', 'Miaomiao', 'Butler', 'English Teacher', 'Sam', 'Mathematics Teacher']
animeVoices	['Nakamura, Yuuichi', 'Amamiya, Sora', 'Ono, Kensho', 'Hanae, Natsuki', 'Morinaga, Chitose', 'Katou, Shingo']
animeStaff	[['Rareko', 'Director, Script'], ['You, Ling', 'Original Creator']]
