animeTitle	There She Is!!
animeType	ONA
animeNumEpisode	5
releaseDate	2003-04-20 00:00:00
endDate	2008-12-09 00:00:00
animeNumMembers	
animeScore	7.89
animeUsers	12638
animeRank	
animePopularity	3770
animeDescription	"The plot revolves around Doki, a female rabbit, meeting, falling in love with, and chasing Nabi, a male cat, in a world where love between the two species is socially unacceptable. The theme of the short is that all love can be accepted and has a chance. Nabi attempts to cure Doki's infatuation for him, but after seeing the extent of her love, he gives in and finds something he can appreciate in her.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	['Doki', 'Nabi', 'Il-ho']
animeVoices	[]
animeStaff	[['Amalloc', 'Creator']]
