animeTitle	Seikimatsu Occult Gakuin Specials
animeType	Special
animeNumEpisode	4
releaseDate	2010-10-27 00:00:00
endDate	2011-01-26 00:00:00
animeNumMembers	
animeScore	6.54
animeUsers	4318
animeRank	
animePopularity	5356
animeDescription	Short spin-off episodes included in Blu-ray/DVD volumes of the main series.
animeRelated	['Seikimatsu Occult Gakuin']
animeCharacters	['Kumashiro, Maya', 'Kuroki, Ami', 'Naruse, Kozue', 'Kuroki, Shige', 'Kumashiro, Junichirou']
animeVoices	['Hikasa, Youko', 'Takagaki, Ayahi', 'Hanazawa, Kana', 'Shimaka, Yuu', 'Yajima, Masaaki']
animeStaff	[['Sakamoto, Izumi', 'Color Design']]
