animeTitle	Ichiban Chikakute Tooi Hoshi
animeType	ONA
animeNumEpisode	1
releaseDate	2021-08-23 00:00:00
endDate	
animeNumMembers	961
animeScore	6.16
animeUsers	361
animeRank	7865
animePopularity	11225
animeDescription	A four-minute concept animation that exists within the same world as Summer Ghost.
animeRelated	['Summer Ghost']
animeCharacters	['Yuki', 'Kaori']
animeVoices	['Lynn', 'Touyama, Nao']
animeStaff	[['loundraw', 'Director, Episode Director, Editing, Director of Photography, Character Design, Art Director, Animation Director'], ['Iwao, Junko', 'Theme Song Composition, Theme Song Performance']]
