animeTitle	Viper's Creed
animeType	TV
animeNumEpisode	12
releaseDate	2009-01-06 00:00:00
endDate	2009-03-24 00:00:00
animeNumMembers	9476
animeScore	6.72
animeUsers	3672
animeRank	5025
animePopularity	5420
animeDescription	"The story revolves around the members of a private military company (PMC), and the uneasy tension between them and the regular military after a war that caused massive environmental destruction.

(Source: Animekon)"
animeRelated	[]
animeCharacters	"['Cryde, Saiki', 'Kariya, Sakurako', 'Dilah, Ageha', ""N'Guyen, Norma"", 'Doc', 'Shankai, Rudra', 'Chiaki, Ulla', 'Ladd, Chris', 'Meneau, Jill', 'Zaliche']"
animeVoices	['Kuroda, Takaya', 'Toyoguchi, Megumi', 'Akiyama, Nana', 'Minagawa, Junko', 'Arimoto, Kinryuu', 'Kawada, Shinji', 'Sakurai, Takahiro', 'Ueda, Kana', 'Kojima, Sachiko', 'Sakuya, Shunsuke']
animeStaff	[['Aramaki, Shinji', 'Director'], ['Nishouji, Yoshihito', 'Episode Director'], ['Hasegawa, Keiichi', 'Script'], ['Hayashi, Hiroki', 'Storyboard']]
