animeTitle	Sonic X Pilot
animeType	Special
animeNumEpisode	2
releaseDate	2001-01-01 00:00:00
endDate	2003-01-01 00:00:00
animeNumMembers	3643
animeScore	6.12
animeUsers	1836
animeRank	8081
animePopularity	7887
animeDescription	"The original pilot videos for Sonic X.

An English promotional without humans, and a Japanese closer to the final."
animeRelated	['Sonic X']
animeCharacters	['Sonic the Hedgehog', 'Shadow the Hedgehog', 'Prower, Miles', 'The Echidna, Knuckles', 'Robotnik, Ivo', 'Rose, Amy']
animeVoices	[]
animeStaff	[]
