animeTitle	Buki yo Saraba
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	3901
animeRank	
animePopularity	5169
animeDescription	"Based on a story by Otomo (Katsuhiro), it's about a ragtag group of hard-talkin', power suit-wearin' men tasked with disarming automatic tanks in a post-apocalyptic Tokyo.

(Source: Crunchyroll)"
animeRelated	['Kanojo no Omoide...', 'Hi no Youjin', 'Tsukumo', 'Gambo', 'Short Peace Opening']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
