animeTitle	Kaibutsu Oujo: Konsui Oujo
animeType	Special
animeNumEpisode	1
releaseDate	2008-02-14 00:00:00
endDate	
animeNumMembers	
animeScore	7.0
animeUsers	4791
animeRank	
animePopularity	5161
animeDescription	Episode 26 included in the ninth DVD volume of Kaibutsu Oujo.
animeRelated	['Kaibutsu Oujo']
animeCharacters	['Liliane', 'Wildman, Riza', 'Kamura, Reiri', 'Hiyorimi, Hiro', 'Flandre', 'Sherwood', 'Hiyorimi, Sawawa', 'Hiroko', 'Francisca', 'Ryu Ryu']
animeVoices	['Kawasumi, Ayako', 'Kaida, Yuuko', 'Noto, Mamiko', 'Ono, Fuyuka', 'Kawaragi, Shiho', 'Shimizu, Ai', 'Minaguchi, Yuko', 'Morinaga, Rika', 'Katou, Akio']
animeStaff	[['Sakoi, Masayuki', 'Director'], ['ALI PROJECT', 'Theme Song Performance'], ['Misato, Aki', 'Theme Song Performance'], ['Takahashi, Takeo', 'Setting']]
