animeTitle	One Room Third Season
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.46
animeUsers	9163
animeRank	
animePopularity	3569
animeDescription	Third season of One Room. 
animeRelated	['One Room Second Season']
animeCharacters	['Hanasaka, Yui', 'Momohara, Natsuki', 'Nanahashi, Minori', 'Orisaki, Saya', 'Kotokawa, Akira']
animeVoices	['Ichimichi, Mao', 'Murakawa, Rie', 'Takahashi, Rie', 'Hanamori, Yumiri', 'Tomita, Miyu']
animeStaff	[['Shimoi, Aose', 'Script'], ['Kantoku', 'Original Character Design'], ['Mano, Eiji', 'Original Creator'], ['Tani, Takuya', 'Character Design']]
