animeTitle	b'Dramaturgy'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.8
animeUsers	2239
animeRank	
animePopularity	
animeDescription	"b'An original song by Eve, sung by Hatsune Miku, animated by Mah. Eve\'s self-cover uses the same animated footage and was released on October 11, 2017. Eve included his self-cover MV on his own self-made record label harapeco records\'s CD+DVD release on December 13, 2017 as a part of his ""Bunka"" album.'"
animeRelated	[b'Ano Ko Secret', b'Nonsense Bungaku', b'Oki ni Mesu mama']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
