animeTitle	Magical★Taruruuto-kun
animeType	TV
animeNumEpisode	87
releaseDate	1990-09-09 00:00:00
endDate	1992-05-10 00:00:00
animeNumMembers	1246
animeScore	6.71
animeUsers	198
animeRank	5064
animePopularity	10592
animeDescription	Magical Taruruto-kun is a magical boy, fighting, and comedy TV show based on the manga of the same name by Tatsuya Egawa which ran in Weekly Shounen Jump.
animeRelated	['Magical☆Taruruuto-kun', 'Magical★Taruruuto-kun: Sukisuki Takoyaki!']
animeCharacters	['Taruruuto', 'Edojou, Honmaru', 'Ijigawa, Rui', 'Jaba, Jabao', 'Kawai, Iyona']
animeVoices	['Tarako', 'Takayama, Minami', 'Shioya, Yoku', 'Touma, Yumi']
animeStaff	[['Yamauchi, Shigeyasu', 'Director, Episode Director, Storyboard'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard'], ['Kaizawa, Yukio', 'Episode Director'], ['Endou, Yuuji', 'Episode Director']]
